univName,belongsToDept
Université Panthéon-Sorbonne - Paris 1,75
Université Panthéon Assas - Paris 2,75
Université Sorbonne Nouvelle - Paris 3,75
Sorbonne Université,75
Université Paris Cité,75
Université PSL (Paris Sciences et Lettres),75
Université Paris 8,93
Université Paris Dauphine,75
Université Paris Nanterre,92
Université Paris-Saclay,91
Université Paris-Est Créteil Val de Marne,94
Université Sorbonne Paris Nord,93
Université Gustave Eiffel,77
Université de Versailles Saint-Quentin-en-Yvelines,78
Université d’Evry-Val-d’Essonne,91
CY Cergy Paris Université,95